question,answer,dummy1,dummy2,dummy3
いと,たいそう,まったく,少しも,決して
あてなり,高貴だ,恥ずかしい,珍しい,驚くほどだ
をかし,趣がある,恐ろしい,滑稽だ,悲しい
あまた,たくさん,少し,まれに,非常に
げに,本当に,まるで,決して,おそらく
な～そ,～するな,～したい,～だろう,～してほしい
やがて,そのまま,すぐに,やがて,ついに
おどろく,目を覚ます,驚く,走る,叫ぶ
ののしる,大声で騒ぐ,悪口を言う,喧嘩する,泣く
おこたる,病気がよくなる,サボる,間違える,忘れる
ながむ,物思いに沈む,眺める,歌う,歩く
ねんず,我慢する,祈る,寝る,考える
しのぶ,人目を避ける,忍耐する,懐かしむ,隠す
いらふ,返事をする,嫌う,行く,笑う
ありく,歩き回る,存在する,食べる,聞く
飽く,満足する,飽きる,嫌う,疲れる
うつくし,かわいい,美しい,立派だ,珍しい
かなし,いとしい,悲しい,悔しい,寂しい
をかし,趣がある,おかしい,恐ろしい,素晴らしい
あやし,不思議だ,怪しい,卑しい,粗末だ
おぼつかなし,不安だ,はっきりしている,待ち遠しい,恐ろしい
有り難し,めったにない,感謝している,難しい,生きづらい
めでたし,すばらしい,おめでたい,珍しい,賢い
おとなし,大人びている,静かだ,幼稚だ,分別がある
ゆかし,見たい・知りたい,行きたい,美しい,懐かしい
おぼゆ,思われる,覚える,教える,似る
かしづく,大切に育てる,かしこまる,掃除する,隠居する
すまふ,抵抗する,住む,相撲をとる,辞退する
あきらむ,明らかにする,諦める,飽きる,慰める
塩垂る,涙を流す,塩を塗る,泳ぐ,料理する
かきくらす,悲しみで心を暗くする,掃除する,暗くなる,書道をする
まどふ,途方に暮れる,窓を開ける,惑わす,混ざる
こうず,疲れる,困る,凍る,降る
かしこし,恐れ多い,賢い,運がいい,激しい
いみじ,はなはだしい,素晴らしい,ひどい,嬉しい
しるし,はっきりしている,兆候,薬の効果,土地の所有
びんなし,不都合だ,瓶がない,貧乏だ,恥ずかしい
いとほし,気の毒だ,愛おしい,嫌だ,恐ろしい
いはけなし,子供っぽい,言い訳がましい,恐ろしい,情けない
つらし,薄情だ,辛い,苦しい,面倒だ
ところせし,窮屈だ,場所が広い,威張っている,忙しい
めざまし,気にくわない,目が覚める,素晴らしい,目立つ
あたらし,惜しい,新しい,素晴らしい,恐ろしい
まばゆし,まぶしい,恥ずかしい,見苦しい,素晴らしい
むつかし,不快だ,難しい,恐ろしい,複雑だ
あふ,結婚する,会う,似合う,戦う
よばふ,求婚する,呼び続ける,叫ぶ,追いかける
ときめく,寵愛を受ける,ドキドキする,流行する,期待する
おくる,先立たれる,遅れる,贈る,忘れる
あやにくなり,あいにくだ,意地が悪い,突然だ,激しい
おぼろげなり,普通だ,ぼんやりしている,格別だ,愚かだ
なのめなり,普通だ,斜めだ,いい加減だ,格別だ
まほなり,完全だ,魔法のようだ,真面目だ,正面だ
あさまし,驚きあきれる,情けない,素晴らしい,恐ろしい
つれなし,平然としている,冷淡だ,変化がない,縁がない
こころもとなし,待ち遠しい,不安だ,はっきりしない,落ち着かない
つごもり,月末,籠ること,終わり,隠れ家
たより,機会,頼み,縁故,序手紙
よし,縁由,理由,方法,風情
いとど,ますます,決して,全く,意外にも
おのづから,たまたま,自然に,もしかして,自分で
なかなか,かえって,かなり,なまじっか,決して
さすがに,そうはいってもやはり,流石に,期待通りに,案の定
あまた,たくさん,少し,まれに,非常に
ここら,たくさん,ここらへん,少し,非常に
せめて,強いて,決して,攻めて,せめて
むべ,なるほど,おそらく,まさか,決して
やらむ,～だろうか,行こうか,送ろうか,～だろう
かたみに,互いに,形見に,強引に,代わりに
いづら,どこ,どれ,誰,いつ
など,どうして,何,どこ,誰
いつしか,早く,いつのまにか,いつでも,決して
とし,早い,鋭い,激しい,豊かだ
めづ,褒める,愛する,珍しがる,驚く
まうく,準備する,儲ける,拾う,出会う
たてまつる,差し上げる,召し上がる,お乗りになる,申し上げる
まかる,退出する,行く,参る,死ぬ
きこしめす,お聞きになる,召し上がる,お治めになる,申し上げる
しろしめす,知っていらっしゃる,お治めになる,召し上がる,退出する
あそばす,なさる,演奏なさる,お書きになる,踊られる
つかまつる,お仕えする,～し申し上げる,差し上げる,召し上がる
候ふ,お仕えする,あります,～でございます,行きます
聞こゆ,申し上げる,聞こえる,噂になる,理解できる
奏す,（帝に）申し上げる,演奏する,報告する,歌う
啓す,（中宮等に）申し上げる,開く,案内する,敬う
まゐる,参上する,差し上げる,召し上がる,お召しになる
賜はる,いただく,与える,おっしゃる,～なさる
おはす,いらっしゃる,行く,来る,～ていらっしゃる
おぼす,お思いになる,覚える,おっしゃる,願われる
おほせらる,おっしゃる,命令なさる,褒められる,お思いになる
仰ぐ,敬う,見上げる,願う,頼む
まうづ,参上する,儲ける,出会う,準備する
つかはす,おやりになる,お与えになる,お使いになる,派遣される
あがむ,敬う,上がる,揚げる,崇める
伝ふ,伝える,伝わる,慣れる,従う
侘ぶ,嘆く,詫びる,困る,～しかねる
眺む,歌を詠む,眺める,物思いに沈む,見つめる
惑ふ,激しく～する,迷う,惑わす,困る
覚ゆ,似る,思い出す,思われる,覚える
映ゆ,美しく映える,映る,生える,栄える
移ろふ,色あせる,移動する,変わる,枯れる
止む,そのまま終わる,止まる,治る,辞める
零る,散る,こぼれる,落ちる,壊れる
喜ぶ,礼を述べる,喜ぶ,祝う,笑う
明らむ,心を晴らす,明らかにする,諦める,飽きる
怠る,病気がよくなる,油断する,サボる,忘れる
隠る,亡くなる,隠れる,曇る,秘密にする
障る,差し支える,触る,邪魔する,障子
興ず,おもしろがる,興奮する,演奏する,参加する
損なふ,傷つける,失敗する,死ぬ,壊れる
奉る,差し上げる,召し上がる,お乗りになる,申し上げる
参らす,差し上げる,参上させる,～し申し上げる,召し上がる
まゐらす,差し上げる,～し申し上げる,参上させる,召し上がる
仰す,おっしゃる,命じる,仰向く,頼む
申す,申し上げる,言う,申請する,誓う
聞こえさす,申し上げる,聞かせる,噂にする,差し上げる
承る,お引き受けする,お聞きする,いただく,承知する
御覧ず,御覧になる,お会いになる,お見せになる,お思いになる
知食す,お治めになる,知っていらっしゃる,召し上がる,退出する
奏でる,演奏する,踊る,歌う,申し上げる
あからさまなり,ほんのちょっとだ,明らかだ,突然だ,激しい
おろかなり,言葉では言い尽くせない,愚かだ,未熟だ,いい加減だ
こころうし,つらい,心細い,情けない,嫌いだ
こころもとなし,じれったい,不安だ,はっきりしない,落ち着かない
こころぐるし,気の毒だ,つらい,心配だ,苦しい
めでたし,すばらしい,おめでたい,珍しい,賢い
らうたし,かわいい,立派だ,素晴らしい,珍しい
かたはらいたし,決まり悪い,苦々しい,気の毒だ,傍にいたい
さうざうし,物足りない,騒々しい,寂しい,恐ろしい
すさまじ,興ざめだ,凄まじい,恐ろしい,殺風景だ
つきづきし,似つかわしい,憑いている,好きだ,月のようだ
つれなし,冷淡だ,平然としている,変化がない,縁がない
なめし,無作法だ,滑らかだ,舐めている,柔らかい
おどろおどろし,気味が悪い,恐ろしい,騒々しい,大げさだ
むつかし,わずらわしい,難しい,恐ろしい,不快だ
かしこし,非常に,恐れ多い,賢い,運がいい
いみじ,はなはだしい,素晴らしい,ひどい,嬉しい
しるし,はっきりしている,兆候,薬の効果,土地の所有
おとなし,分別がある,静かだ,幼稚だ,大人びている
ゆかし,見たい・聞きたい,行きたい,美しい,懐かしい
おぼつかなし,はっきりしない,不安だ,待ち遠しい,恐ろしい
ありがたし,めったにない,感謝している,難しい,生きづらい
つらし,薄情だ,辛い,苦しい,面倒だ
ところせし,威張っている,場所が広い,窮屈だ,忙しい
めざまし,気にくわない,目が覚める,素晴らしい,目立つ
あたらし,惜しい,新しい,素晴らしい,恐ろしい
