question,all_answers,dummy_pool,,
いと,"たいそう, 非常に","まったく, 少しも, 決して",,
あてなり,"高貴だ, 立派だ","恥ずかしい, 珍しい, 驚くほどだ",,
をかし,"趣がある, すばらしい, 滑稽だ, 美しい","恐ろしい, 悲しい, おかしい",,
あまた,"たくさん, おびただしい","少し, まれに, 非常に",,
げに,"本当に, なるほど","まるで, 決して, おそらく",,
な〜そ,~するな,~したい,~だろう,~してほしい
やがて,"そのまま, すぐに","やがて, ついに, 後で",,
おどろく,"目を覚ます, はっと気づく","驚く, 走る, 叫ぶ",,
ののしる,"大声で騒ぐ, 評判になる","悪口を言う, 喧嘩する, 泣く",,
おこたる,"病気がよくなる, 中断する","サボる, 間違える, 忘れる",,
ながむ,"物思いに沈む, 歌を詠む","眺める, 歩く, 見つめる",,
ねんず,"我慢する, 祈る","寝る, 考える, 騒ぐ",,
しのぶ,"人目を避ける, 懐かしむ, 隠す","忍耐する, 怒る, 喜ぶ",,
いらふ,返事をする,"嫌う, 行く, 笑う",,
ありく,"歩き回る, ~してまわる","存在する, 食べる, 聞く",,
飽く,"満足する, 十分だ","飽きる, 嫌う, 疲れる",,
うつくし,"かわいい, 愛らしい","美しい, 立派だ, 珍しい",,
かなし,"いとしい, かわいい, 悲しい","悔しい, 寂しい, 恐ろしい",,
あやし,"不思議だ, 卑しい, 粗末だ, けしからん","怪しい, 正当だ, 高貴だ",,
おぼつかなし,"不安だ, はっきりしない, 待ち遠しい","恐ろしい, 嬉しい, 詳しい",,
ありがたし,"めったにない, すばらしい","感謝している, 難しい, 生きづらい",,
めでたし,すばらしい,"おめでたい, 珍しい, 賢い",,
おとなし,"大人びている, 分別がある, 思慮がある, 年配だ","静かだ, 幼稚だ, 騒がしい",,
ゆかし,"見たい, 知りたい, 聞きたい, 心惹かれる","行きたい, 美しい, 懐かしい",,
おぼゆ,"思われる, 似る, 思い出す","覚える, 教える, 忘れる",,
かしづく,"大切に育てる, 後見する","かしこまる, 掃除する, 隠居する",,
すまふ,"抵抗する, 断る","住む, 相撲をとる, 納得する",,
あきらむ,"明らかにする, 心を晴らす","諦める, 飽きる, 慰める",,
いみじ,"はなはだしい, すばらしい, ひどい","嬉しい, 悲しい, 普通だ",,
しるし,"はっきりしている, 効き目, 兆候, 証拠","土地の所有, 薬の調合, 偶然",,
びんなし,"不都合だ, 気の毒だ","瓶がない, 貧乏だ, 恥ずかしい",,
いいとほし,"気の毒だ, かわいい","嫌だ, 恐ろしい, 憎らしい",,
いはけなし,子供っぽい,"言い訳がましい, 恐ろしい, 情けない",,
つらし,"薄情だ, 冷淡だ","辛い, 苦しい, 面倒だ",,
ところせし,"窮屈だ, いばっている, おおげさだ","場所が広い, 忙しい, 快適だ",,
めざまし,"気にくわない, すばらしい","目が覚める, 目立つ, 眠い",,
あたらし,"惜しい, もったいない","新しい, 素晴らしい, 恐ろしい",,
まばゆし,"恥ずかしい, まぶしい, 見苦しい","素晴らしい, 美味しい, 遠い",,
むつかし,"不快だ, わずらわしい, 恐ろしい","難しい, 複雑だ, 易しい",,
あふ,"結婚する, 深い仲になる, 我慢する","会う, 似合う, 戦う",,
